start,duration
713618339,15682
713677175,16005
715988187,11230
717061849,15722
718652986,15706
718836107,15771
720045350,11101
721665796,16152
722819598,15908
723961902,11223
724219704,15963
726820358,16016
730820493,16210
730845415,16056
732224799,16010
734820440,16236
735697742,16149
736028842,11253
738820010,16050
741793496,15740
742818346,16025
743984359,11005
746819926,16061
750819614,15884
754819040,16069
756028783,11250
758819435,16310
760012347,11161
761520044,15990
761948147,15792
762817985,16090
766818304,16096
774818822,15742
774875854,15818
775569641,11238
778819519,15814
780178002,15848
782040869,15941
789584010,15988
789771246,16072
792318184,16085
794819075,15817
799160347,16242
802170133,15816
805076014,15984
806820329,16096
807104342,16119
810819720,16057
814960479,16217
822296526,15801
836240476,15652
842424862,15864
844330604,15899
856371253,15834
859703723,15830
862553885,15947
870818519,15784
874818717,15974
876502051,15917
882679782,16146
896600062,15911
896704956,15985
898363777,16125
899133753,11215
902808808,15896
907781660,15979
916743579,15827
922818276,15747
922965815,15833
924453440,15739
930819359,15939
936873691,16002
941373161,16037
943092982,15961
950714086,15934
954643361,15871
956186828,15735
956976875,15795
958372653,15940
960053455,15754
960355473,15887
961761432,16208
962397986,15803
962538238,15987
964878140,15899
965216901,16111
966038280,11212
966342255,16127
967718396,11222
970903303,15921
972055664,16273
972193599,11065
972236515,16019
973426973,11252
973790903,16004
975449731,16003
978818146,15580
982595817,15563
983369912,15785
984290927,11001
984891488,15790
986818471,15643
989994748,15699
990875616,16124
992572924,15933
994818314,15578
997169036,16287
997765411,11214
998672344,15945
999200462,15907
1001192162,16103
1001650281,11274
1001834060,16126
1002289817,11310
1002819197,16048
1004600869,11182
1007256234,16033
1007368190,11187
1007411011,15861
1008570099,11236
1009753801,15946
1010499942,16006
1012621714,16067
1014821075,15466
1014919701,15926
1017022359,15818
1017103808,15643
1017304124,20597
1018245047,11139
1018820431,16019
1022821595,16055
1026797024,15934
1026822337,15565
1028667169,16017
1030817468,15646
1030841878,15744
1032126160,11179
1033865777,16085
1034818803,15955
1036714297,11153
1037438769,15917
1038821654,15678
1041749663,16108
1042821762,15661
1044695681,15966
1046602849,16189
1046821486,15861
1048059115,11197
1049967450,16116
1050822289,15938
1053017819,11079
1053532698,15688
1054819542,15815
1056389404,11134
1056634143,16016
1061863938,15859
1062067188,16384
1064965139,11159
1065306560,15623
1068801724,11208
1070821279,15763
1073274700,11145
1073862084,16376
1076046652,11170
1077627257,16075
1080001559,11065
1082819391,15818
1084319049,11109
1086480006,15755
1086647099,15863
1089706147,15783
1090818077,15784
1092001511,11092
1092753090,15831
1094820882,15690
1096013420,11215
1096234570,15737
1096613346,16013
1101604316,16055
1101840510,15829
1104029505,11037
1106818825,15427
1109861260,15563
1110066538,16013
1112453215,15777
1114281240,15837
1117260566,11183
1117815358,16376
1120035666,11332
1122819440,16131
1125246856,11134
1126819109,15918
1128025660,11112
1129027133,16053
1132414760,15750
1134820250,15749
1137153874,11090
1137931612,16003
1138805299,18839
1140968779,16014
1142821865,15550
1145214738,11256
1145975731,16013
1154856348,11132
1166489027,11120
1166820112,15576
1173161995,11262
1174820957,16040
1176372419,11133
1176833813,16228
1178019183,11217
1178132881,15883
1183984834,11156
1184327123,15790
1186818512,15581
1188022232,11217
1190818675,15815
1193837304,11152
1194819750,15624
1196902344,11115
1198123485,16142
1199976863,11288
1202818502,15675
1204457174,15966
1205689035,11004
1206818661,15670
1210818948,15792
1212028525,11180
1214591202,15800
1217194259,15904
1219670521,11246
1222817799,15564
1224586794,16111
1238476908,15914
1242820268,15547
1244713788,16077
1246108402,16199
1248008543,11003
1248895211,15888
1250819211,15475
1252557587,16295
1258605030,15873
1259923785,11235
1260402257,16245
1261646455,11191
1264701002,15808
1265682957,11192
1266708089,15692
1271075861,15753
1273028881,32396
1274819044,16051
1278345186,15702
1278369661,15756
1294805295,11211
1346104975,11030
1346820171,16134
1350820579,16385
1350845754,16215
1352015499,11074
1354821603,16159
1355998705,11213
1356244397,16316
1357559149,11169
1358308807,16201
1360437319,11093
1360520239,16111
1362819965,16004
1365462725,15935
1366239396,11176
1366329405,15970
1379995024,11166
1382822594,16122
1383998821,11205
1385597519,15803
1386495464,15742
1386820509,15975
1390820358,15884
1393248806,15792
1394819089,15748
1395571294,16118
1395948789,11043
1398553961,16349
1398820661,15567
1402761080,15734
1402818809,15523
1404492743,15991
1404813515,15822
1406819017,15535
1408002399,11156
1410819629,15764
1412006374,11123
1412772279,16248
1414821400,15819
1416040128,11258
1418821231,15863
1418969732,16152
1421281356,16056
1425654852,16251
1426379872,11245
1428520866,15886
1430392338,11136
1435172964,16133
1437818700,16235
1439363846,16092
1440075076,16399
1440599920,11148
1441594171,15691
1442805278,36280
1442898367,11248
1444752437,15835
1445597384,16261
1446824097,11086
1449273203,15961
1451396917,15831
1452812745,16261
1452930356,16448
1454045253,11252
1456418251,15951
1459498004,15962
1459850460,16323
1460937604,11256
1463391181,15944
1464885905,15800
1466932680,15949
1467289710,11189
1467613757,16135
1468146394,11235
1470498928,15792
1471206767,16104
1471968466,11196
1472123330,16198
1473329632,11033
1474380990,16134
1474805280,41394
1475628267,11199
1477978040,15984
1478820191,15957
1479208477,11185
1479839111,16404
1480008949,11258
1481591379,16081
1482821856,15967
1485125025,15987
1487356847,11089
1489059824,16163
1490287640,11207
1490820092,16117
1492830561,15837
1496391503,16001
1498819786,15840
1499873861,16146
1501114088,11089
1502325193,16059
1502820288,15861
1503615631,11254
1503709751,15930
1504656714,11195
1505092594,16234
1506827669,16106
1507490572,11136
1507510453,16050
1508111638,11217
1510819290,16137
1511014351,15978
1512008361,11221
1513070202,15996
1514652855,16096
1514818668,15888
1516046050,11205
1517505962,15957
1518430096,16102
1519656737,11129
1519887349,16276
1520007453,11262
1522164154,16050
1522820249,15924
1523411176,11150
1525222159,16232
1525753879,16323
1526728219,11230
1526819977,15807
1526968497,11198
1529354170,16054
1530819777,15950
1532298277,16056
1532889052,16085
1533621511,11218
1534819543,15878
1536470265,16023
1538818983,15788
1539937300,15829
1541158363,11066
1542819625,15706
1543263339,16117
1544447019,16131
1544822007,11114
1545578539,16082
1547686767,11121
1551188123,16281
1552007119,11213
1552345445,16076
1552414729,11129
1554818462,15660
1554899748,16067
1556036769,11219
1558486180,15921
1560253124,16142
1562077589,16047
1564698220,16245
1565576627,16109
1567816703,11202
1569114427,15904
1571978155,11085
1573411115,15838
1574821029,16001
1575961706,11091
1577167608,16211
1578819187,16011
1580009341,11173
1580174977,16019
1580875009,15968
1582819615,15970
1584829273,16238
1585560058,16290
1586057460,11165
1586820939,15865
1587983943,11075
1588637265,15967
1589427187,16138
1589865258,11148
1590819402,15798
1591997363,11130
1592444883,16024
1594288960,16170
1595348031,11249
1595519084,16093
1597580115,11083
1598820868,15848
1600009154,11217
1600283434,15987
1600514470,16065
1601560932,11100
1602820506,15964
1604678243,11229
1605692831,16246
1606820640,15836
1608026902,11026
1608134087,15969
1609211901,11138
1610820860,16050
1612022476,11124
1613009511,16117
1613114064,11203
1613407627,16150
1614651875,11147
1614820979,15914
1617116345,11113
1618819608,16276
1620025509,11271
1620644822,16361
1621005977,11235
1623370426,15906
1625770686,15977
1625882191,15768
1629534646,15999
1630734267,15882
1631968502,11231
1634394860,15973
1634820194,15919
1635655157,11122
1638049383,15842
1640542469,15990
1641490785,16074
1641773501,11135
1645008318,15770
1645861975,15923
1647149060,11210
1648733529,16194
1652065413,15849
1655523270,16169
1658944533,16099
